                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.96394,                  1.112,                 1.2124,                 0.2358,                0.42857,                 0.1656,                0.06676,                 1.8896,                 3.0673,                 2.4232,                0.00101,                0.00101,                0.00101
                     52,                0.78644,                0.89055,                 1.1248,                0.20115,                0.39286,                0.19357,                0.10431,                 1.8129,                 3.0605,                 2.3519,              0.0009902,              0.0009902,              0.0009902
                     53,                0.81078,                0.94323,                 1.0898,                0.29032,                0.42857,                0.26259,                0.15575,                  1.666,                 2.8322,                 2.1808,              0.0009704,              0.0009704,              0.0009704
                     54,                0.79975,                0.92655,                 1.1211,                0.40021,                0.45302,                0.29596,                0.17526,                 1.7356,                 2.7271,                 2.2205,              0.0009506,              0.0009506,              0.0009506
                     55,                0.85539,                0.94448,                 1.1264,                0.41517,                0.46429,                0.32109,                0.16739,                 1.7805,                 2.5467,                 2.2384,              0.0009308,              0.0009308,              0.0009308
                     56,                0.82426,                 0.9132,                 1.0961,                0.36005,                0.42857,                0.30718,                0.15151,                 1.8516,                 2.4644,                 2.2698,               0.000911,               0.000911,               0.000911
                     57,                0.75699,                0.89698,                 1.0896,                0.31305,                    0.5,                 0.3019,                0.12147,                  1.947,                 2.4711,                 2.4131,              0.0008912,              0.0008912,              0.0008912
                     58,                0.85045,                0.97786,                  1.114,                0.46088,                0.42748,                0.32679,                0.15092,                 2.1062,                 2.3895,                 2.6107,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.8094,                0.95409,                 1.1117,                0.56782,                0.35714,                0.32777,                 0.1709,                 2.0405,                  2.263,                 2.5572,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.7812,                0.92232,                  1.093,                0.45523,                0.28571,                0.29278,                  0.179,                 1.9383,                 2.1834,                 2.4609,              0.0008318,              0.0008318,              0.0008318
                     61,                0.74351,                0.89694,                 1.0597,                 0.4075,                0.28571,                0.27665,                0.15636,                 1.9706,                   2.25,                 2.5182,               0.000812,               0.000812,               0.000812
                     62,                0.83006,                0.92983,                 1.1402,                0.32852,                0.32143,                0.28229,                0.15447,                 2.0488,                 2.3036,                  2.512,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74895,                0.79303,                 1.0487,                0.35822,                0.42857,                 0.2564,                0.13912,                 1.9981,                 2.3158,                 2.4427,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.7231,                0.77161,                 1.0478,                0.41649,                0.39286,                0.26084,                0.14115,                 1.9968,                  2.353,                 2.3863,              0.0007526,              0.0007526,              0.0007526
                     65,                0.76545,                0.80479,                 1.0922,                0.48764,                0.42857,                0.30826,                0.13898,                 1.9419,                  2.566,                 2.3471,              0.0007328,              0.0007328,              0.0007328
                     66,                0.77431,                0.79237,                 1.0653,                0.35326,                   0.25,                0.21259,                0.12658,                 1.9689,                 2.7452,                  2.352,               0.000713,               0.000713,               0.000713
                     67,                 0.7587,                0.86079,                 1.0632,                0.49769,                0.31862,                0.28572,                0.11744,                 1.9404,                 2.9049,                 2.3319,              0.0006932,              0.0006932,              0.0006932
                     68,                0.79753,                0.79785,                 1.1076,                 0.3459,                0.46429,                0.30151,                0.13819,                 1.8957,                 3.1128,                  2.339,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.7826,                0.80707,                 1.0784,                 0.3011,                0.46429,                0.26615,                0.14125,                 1.8336,                 3.2555,                 2.2472,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77632,                0.83332,                 1.0773,                0.25447,                    0.5,                0.26607,                 0.1443,                 1.7759,                 2.9667,                 2.1532,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.7909,                0.81755,                 1.0621,                0.32978,                0.42857,                0.28656,                0.15427,                 1.7064,                 2.5583,                 2.1007,               0.000614,               0.000614,               0.000614
